"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"04/01/2024","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$0.12"
"03/28/2024","Bond Interest","","TDA TRAN - FREE BALANCE INTEREST ADJUSTMENT","","","","$0.12"
"03/28/2024","Journaled Shares","MMDA1","TDA TRAN - CASH ALTERNATIVES INTEREST (MMDA1)","0.09","","",""
"03/28/2024","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL","","","","-$607.01"
"03/27/2024","Buy","AIYY","TDA TRAN - Bought 100 (AIYY) @14.7499","100","$14.7499","","-$1474.99"
"03/27/2024","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$371.55"
"03/26/2024","Sell","SQY","TDA TRAN - Sold 35 (SQY) @24.8000","35","$24.80","$0.02","$867.98"
"03/25/2024","Sell","SQY","TDA TRAN - Sold 15 (SQY) @24.7700","15","$24.77","","$371.55"
"03/25/2024","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$122.32"
"03/22/2024","Sell","XOM","TDA TRAN - Sold 0.092 (XOM) @113.5700","0.092","$113.57","","$10.45"
"03/22/2024","Buy","SQY","TDA TRAN - Bought 50 (SQY) @24.3800","50","$24.38","","-$1219.00"
"03/22/2024","Sell","XOM","TDA TRAN - Sold 5 (XOM) @113.5700","5","$113.57","","$567.85"
"03/22/2024","Buy","TSLY","TDA TRAN - Bought 37 (TSLY) @15.7199","37","$15.7199","","-$581.64"
"03/22/2024","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$94.90"
"03/21/2024","Sell","CONY","TDA TRAN - Sold 0.612 (CONY) @28.2400","0.612","$28.24","","$17.28"
"03/21/2024","Sell","CONY","TDA TRAN - Sold 10 (CONY) @28.2400","10","$28.24","","$282.40"
"03/21/2024","Sell","PYPY","TDA TRAN - Sold 55 (PYPY) @19.0000","55","$19.00","$0.02","$1044.98"
"03/21/2024","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$58.48"
"03/20/2024","Sell","PYPY","TDA TRAN - Sold 5 (PYPY) @18.9800","5","$18.98","","$94.90"
"03/19/2024","Buy","AMDY","TDA TRAN - Bought 25 (AMDY) @20.4199","25","$20.4199","","-$510.50"
"03/19/2024","Sell","SJT","TDA TRAN - Sold 100 (SJT) @5.6900","100","$5.69","$0.02","$568.98"
"03/14/2024","Reinvest Shares","SJT","TDA TRAN - Bought 1.779 (SJT) @5.6449","1.779","$5.6449","","-$10.04"
"03/14/2024","Cash Dividend","","TDA TRAN - NATURAL RESOURCE ROYALTIES (SJT)","","","","$10.04"
"03/11/2024","Reinvest Shares","XOM","TDA TRAN - Bought 0.044 (XOM) @107.9513","0.044","$107.9513","","-$4.80"
"03/11/2024","Qual Div Reinvest","","TDA TRAN - QUALIFIED DIVIDEND (XOM)","","","","$4.80"
"03/11/2024","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$43.40"
"03/08/2024","Reinvest Shares","CONY","TDA TRAN - Bought 0.612 (CONY) @27.1617","0.612","$27.1617","","-$16.62"
"03/08/2024","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (CONY)","","","","$16.62"
"03/08/2024","Reinvest Shares","TSLY","TDA TRAN - Bought 3.02 (TSLY) @16.1091","3.02","$16.109","","-$48.65"
"03/08/2024","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (TSLY)","","","","$48.65"
"03/08/2024","Reinvest Shares","FBY","TDA TRAN - Bought 5.029 (FBY) @23.4401","5.029","$23.4401","","-$117.87"
"03/08/2024","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (FBY)","","","","$117.87"
"03/08/2024","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (PYPY)","","","","$43.40"
"03/06/2024","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL","","","","-$3721.50"
"03/05/2024","Buy","PYPY","TDA TRAN - Bought 60 (PYPY) @18.2100","60","$18.21","","-$1092.60"
"03/05/2024","Buy","FBY","TDA TRAN - Bought 100 (FBY) @23.6600","100","$23.66","","-$2366.00"
"03/05/2024","Buy","CONY","TDA TRAN - Bought 10 (CONY) @26.2900","10","$26.29","","-$262.90"
"03/05/2024","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$3154.36"
"03/01/2024","Sell","PYPY","TDA TRAN - Sold 40 (PYPY) @18.6600","40","$18.66","$0.02","$746.38"
"03/01/2024","Sell","FBY","TDA TRAN - Sold 25 (FBY) @24.0800","25","$24.08","","$602.00"
"03/01/2024","Sell","FBY","TDA TRAN - Sold 75 (FBY) @24.0802","75","$24.0802","$0.04","$1805.98"
"03/01/2024","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$253.42"
"02/29/2024","Bond Interest","","TDA TRAN - FREE BALANCE INTEREST ADJUSTMENT","","","","$0.02"
"02/29/2024","Journaled Shares","MMDA1","TDA TRAN - CASH ALTERNATIVES INTEREST (MMDA1)","0.23","","",""
"02/28/2024","Sell","CONY","TDA TRAN - Sold 0.519 (CONY) @24.0900","0.519","$24.09","","$12.50"
"02/28/2024","Sell","CONY","TDA TRAN - Sold 10 (CONY) @24.0900","10","$24.09","","$240.90"
"02/28/2024","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$18.12"
"02/27/2024","Cash In Lieu","","TDA TRAN - CASH IN LIEU OF FRACTIONAL SHARES (TSLY)","","","","$18.12"
"02/26/2024","Journaled Shares","TSLY","TDA TRAN - MANDATORY REVERSE SPLIT (TSLY)","60","","",""
"02/26/2024","Journaled Shares","88634T709","TDA TRAN - MANDATORY REVERSE SPLIT (88634T709)","-121.934","","",""
"02/20/2024","Journaled Shares","FBY 02/16/2024 23.00 C","TDA TRAN - REMOVAL OF OPTION DUE TO EXPIRATION (0FBY..BG40023000)","1","","",""
"02/14/2024","Reinvest Shares","SJT","TDA TRAN - Bought 1.162 (SJT) @4.6306","1.162","$4.6306","","-$5.38"
"02/14/2024","Cash Dividend","","TDA TRAN - NATURAL RESOURCE ROYALTIES (SJT)","","","","$5.38"
"02/12/2024","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$27.64"
"02/09/2024","Reinvest Shares","TSLY","TDA TRAN - Bought 5.331 (TSLY) @8.8505","5.331","$8.8505","","-$47.18"
"02/09/2024","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (TSLY)","","","","$47.18"
"02/09/2024","Reinvest Shares","CONY","TDA TRAN - Bought 0.519 (CONY) @20.6994","0.519","$20.6994","","-$10.75"
"02/09/2024","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (CONY)","","","","$10.75"
"02/08/2024","Buy","PYPY","TDA TRAN - Bought 40 (PYPY) @16.9400","40","$16.94","","-$677.60"
"02/08/2024","Sell","DK","TDA TRAN - Sold 25 (DK) @28.2100","25","$28.21","$0.01","$705.24"
"02/08/2024","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL","","","","-$2231.66"
"02/07/2024","Sell to Open","FBY 02/16/2024 23.00 C","TDA TRAN - Sold to Open 1 (FBY Feb 16 2024 23.0 Call) @0.0500","1","$0.05","$0.66","$4.34"
"02/07/2024","Buy","FBY","TDA TRAN - Bought 100 (FBY) @22.3600","100","$22.36","","-$2236.00"
"02/01/2024","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$0.01"
"01/31/2024","Bond Interest","","TDA TRAN - FREE BALANCE INTEREST ADJUSTMENT","","","","$0.01"
"01/31/2024","Journaled Shares","MMDA1","TDA TRAN - CASH ALTERNATIVES INTEREST (MMDA1)","0.78","","",""
"01/23/2024","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL","","","","-$18.10"
"01/22/2024","Journaled Shares","SJT 01/19/2024 10.00 C","TDA TRAN - REMOVAL OF OPTION DUE TO EXPIRATION (0SJT..AJ40010000)","3","","",""
"01/19/2024","Buy","CONY","TDA TRAN - Bought 10 (CONY) @18.7600","10","$18.76","","-$187.60"
"01/19/2024","Sell","IRBT","TDA TRAN - Sold 10 (IRBT) @16.9501","10","$16.9501","","$169.50"
"01/16/2024","Reinvest Shares","SJT","TDA TRAN - Bought 0.712 (SJT) @5.7049","0.712","$5.7049","","-$4.06"
"01/16/2024","Cash Dividend","","TDA TRAN - NATURAL RESOURCE ROYALTIES (SJT)","","","","$4.06"
"01/12/2024","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL","","","","-$307.40"
"01/11/2024","Buy","IRBT","TDA TRAN - Bought 10 (IRBT) @30.7400","10","$30.74","","-$307.40"
"01/09/2024","Reinvest Shares","TSLY","TDA TRAN - Bought 5.687 (TSLY) @10.8525","5.687","$10.8525","","-$61.72"
"01/09/2024","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (TSLY)","","","","$61.72"
"12/29/2023","Journaled Shares","MMDA1","TDA TRAN - CASH ALTERNATIVES INTEREST (MMDA1)","0.72","","",""
"12/27/2023","Reinvest Shares","ICLN","TDA TRAN - Bought 0.079 (ICLN) @15.6595","0.079","$15.6595","","-$1.23"
"12/27/2023","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (ICLN)","","","","$1.23"
"12/15/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$723.79"
"12/14/2023","Reinvest Shares","SJT","TDA TRAN - Bought 0.996 (SJT) @5.5838","0.996","$5.5838","","-$5.56"
"12/14/2023","Cash Dividend","","TDA TRAN - NATURAL RESOURCE ROYALTIES (SJT)","","","","$5.56"
"12/14/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$63.49"
"12/13/2023","Sell","V","TDA TRAN - Sold 3 (V) @262.4301","3","$262.4301","$0.01","$787.28"
"12/13/2023","Reinvest Shares","TSLY","TDA TRAN - Bought 5.779 (TSLY) @10.9860","5.779","$10.986","","-$63.49"
"12/13/2023","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (TSLY)","","","","$63.49"
"12/11/2023","Reinvest Shares","XOM","TDA TRAN - Bought 0.048 (XOM) @99.1357","0.048","$99.1357","","-$4.75"
"12/11/2023","Qual Div Reinvest","","TDA TRAN - QUALIFIED DIVIDEND (XOM)","","","","$4.75"
"12/05/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$510.84"
"12/04/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$3.74"
"12/01/2023","Sell","XLE","TDA TRAN - Sold 6 (XLE) @85.1401","6","$85.1401","","$510.84"
"12/01/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$0.02"
"11/30/2023","Bond Interest","","TDA TRAN - FREE BALANCE INTEREST ADJUSTMENT","","","","$0.02"
"11/30/2023","Journaled Shares","MMDA1","TDA TRAN - CASH ALTERNATIVES INTEREST (MMDA1)","0.41","","",""
"11/30/2023","Buy","V","TDA TRAN - Bought 3 (V) @254.7500","3","$254.75","","-$764.25"
"11/30/2023","Sell","PSX","TDA TRAN - Sold 6 (PSX) @128.0000","6","$128.00","$0.01","$767.99"
"11/22/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$19.14"
"11/21/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$7.74"
"11/20/2023","Buy","DK","TDA TRAN - Bought 25 (DK) @27.6500","25","$27.65","","-$691.25"
"11/20/2023","Sell","CONY","TDA TRAN - Sold 30 (CONY) @23.6800","30","$23.68","$0.01","$710.39"
"11/17/2023","Buy","PSX","TDA TRAN - Bought 6 (PSX) @117.0500","6","$117.05","","-$702.30"
"11/17/2023","Sell","SJT","TDA TRAN - Sold 100 (SJT) @7.1006","100","$7.1006","$0.02","$710.04"
"11/17/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$51.88"
"11/16/2023","Buy","CONY","TDA TRAN - Bought 30 (CONY) @22.7700","30","$22.77","","-$683.10"
"11/16/2023","Reinvest Shares","TSLY","TDA TRAN - Bought 5.137 (TSLY) @11.3794","5.137","$11.3794","","-$58.46"
"11/16/2023","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (TSLY)","","","","$58.46"
"11/15/2023","Sell","SJT","TDA TRAN - Sold 100 (SJT) @7.3500","100","$7.35","$0.02","$734.98"
"11/14/2023","Reinvest Shares","SJT","TDA TRAN - Bought 3.507 (SJT) @7.2937","3.507","$7.2937","","-$25.58"
"11/14/2023","Cash Dividend","","TDA TRAN - NATURAL RESOURCE ROYALTIES (SJT)","","","","$25.58"
"11/14/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$65.89"
"11/13/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$1.32"
"11/10/2023","Sell","ORCL","TDA TRAN - Sold 0.008 (ORCL) @113.0900","0.008","$113.09","","$0.90"
"11/10/2023","Buy","XLE","TDA TRAN - Bought 6 (XLE) @83.4100","6","$83.41","","-$500.46"
"11/10/2023","Sell","ORCL","TDA TRAN - Sold 5 (ORCL) @113.0900","5","$113.09","","$565.45"
"11/10/2023","Qual Div Reinvest","","TDA TRAN - QUALIFIED DIVIDEND (GD)","","","","$1.32"
"11/06/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$117.25"
"11/02/2023","Sell","QCOM","TDA TRAN - Sold 1 (QCOM) @117.2500","1","$117.25","","$117.25"
"11/01/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$0.02"
"10/31/2023","Bond Interest","","TDA TRAN - FREE BALANCE INTEREST ADJUSTMENT","","","","$0.02"
"10/31/2023","Journaled Shares","MMDA1","TDA TRAN - CASH ALTERNATIVES INTEREST (MMDA1)","0.17","","",""
"10/26/2023","Reinvest Shares","ORCL","TDA TRAN - Bought 0.008 (ORCL) @100.6115","0.008","$100.6115","","-$0.80"
"10/26/2023","Qual Div Reinvest","","TDA TRAN - QUALIFIED DIVIDEND (ORCL)","","","","$0.80"
"10/19/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$372.17"
"10/18/2023","Buy","XOM","TDA TRAN - Bought 4 (XOM) @112.7273","4","$112.7273","","-$450.91"
"10/18/2023","Buy","ORCL","TDA TRAN - Bought 3 (ORCL) @109.3900","3","$109.39","","-$328.17"
"10/18/2023","Buy","ICLN","TDA TRAN - Bought 3 (ICLN) @13.9868","3","$13.9868","","-$41.96"
"10/18/2023","Buy","TSLY","TDA TRAN - Bought 100 (TSLY) @13.3500","100","$13.35","","-$1335.00"
"10/18/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$784.45"
"10/17/2023","Sell","VTS","TDA TRAN - Sold 0.151 (VTS) @24.7500","0.151","$24.75","","$3.74"
"10/17/2023","Sell","VTS","TDA TRAN - Sold 102 (VTS) @24.7500","102","$24.75","$0.03","$2524.47"
"10/17/2023","Buy to Close","VTS 10/20/2023 25.00 C","TDA TRAN - Bought to Close 1 (VTS Oct 20 2023 25.0 Call) @0.2700","1","$0.27","$0.66","-$27.66"
"10/17/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$60.08"
"10/16/2023","Sell","QQQY","TDA TRAN - Sold 20 (QQQY) @18.9130","20","$18.913","","$378.26"
"10/16/2023","Sell","CME","TDA TRAN - Sold 1 (CME) @218.7901","1","$218.7901","","$218.79"
"10/16/2023","Sell","GD","TDA TRAN - Sold 1 (GD) @243.1240","1","$243.124","","$243.12"
"10/16/2023","Reinvest Shares","SJT","TDA TRAN - Bought 3.702 (SJT) @7.5798","3.702","$7.5798","","-$28.06"
"10/16/2023","Cash Dividend","","TDA TRAN - NATURAL RESOURCE ROYALTIES (SJT)","","","","$28.06"
"10/13/2023","Buy","QQQY","TDA TRAN - Bought 20 (QQQY) @18.7799","20","$18.7799","","-$375.60"
"10/13/2023","Sell","HGTXU","TDA TRAN - Sold 600 (HGTXU) @0.6911","600","$0.6911","$7.04","$407.62"
"10/02/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$0.02"
"09/29/2023","Bond Interest","","TDA TRAN - FREE BALANCE INTEREST ADJUSTMENT","","","","$0.02"
"09/29/2023","Journaled Shares","MMDA1","TDA TRAN - CASH ALTERNATIVES INTEREST (MMDA1)","0.06","","",""
"09/29/2023","Reinvest Shares","VTS","TDA TRAN - Bought 2.151 (VTS) @23.2504","2.151","$23.2504","","-$50.00"
"09/29/2023","Qual Div Reinvest","","TDA TRAN - QUALIFIED DIVIDEND (VTS)","","","","$50.00"
"09/22/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$26.00"
"09/21/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL","","","","-$297.43"
"09/21/2023","Qual Div Reinvest","","TDA TRAN - QUALIFIED DIVIDEND (NEM)","","","","$26.00"
"09/20/2023","Buy","XOM","TDA TRAN - Bought 1 (XOM) @117.1000","1","$117.10","","-$117.10"
"09/20/2023","Buy","ICLN","TDA TRAN - Bought 7 (ICLN) @15.6561","7","$15.6561","","-$109.59"
"09/20/2023","Buy","QCOM","TDA TRAN - Bought 1 (QCOM) @111.3150","1","$111.315","","-$111.32"
"09/20/2023","Buy","CME","TDA TRAN - Bought 1 (CME) @206.7350","1","$206.735","","-$206.74"
"09/20/2023","Buy","GD","TDA TRAN - Bought 1 (GD) @224.8620","1","$224.862","","-$224.86"
"09/20/2023","Buy","ORCL","TDA TRAN - Bought 2 (ORCL) @114.4200","2","$114.42","","-$228.84"
"09/20/2023","Sell","SJT","TDA TRAN - Sold 95 (SJT) @7.0101","95","$7.0101","$0.02","$665.94"
"09/20/2023","Sell","SJT","TDA TRAN - Sold 5 (SJT) @7.0150","5","$7.015","","$35.08"
"09/15/2023","Reinvest Shares","SJT","TDA TRAN - Bought 2.786 (SJT) @6.8224","2.786","$6.8224","","-$19.01"
"09/15/2023","Cash Dividend","","TDA TRAN - NATURAL RESOURCE ROYALTIES (SJT)","","","","$19.01"
"09/15/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$24.34"
"09/14/2023","Sell to Open","VTS 10/20/2023 25.00 C","TDA TRAN - Sold to Open 1 (VTS Oct 20 2023 25.0 Call) @0.2500","1","$0.25","$0.66","$24.34"
"09/14/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL","","","","-$2395.00"
"09/13/2023","Buy","VTS","TDA TRAN - Bought 100 (VTS) @23.9500","100","$23.95","","-$2395.00"
"09/13/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$2543.42"
"09/12/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$7.43"
"09/12/2023","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (AGNC)","","","","$7.43"
"09/11/2023","Sell","NEM","TDA TRAN - Sold 65 (NEM) @39.1300","65","$39.13","$0.03","$2543.42"
"09/07/2023","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$81.21"
